# %ECSV 0.9
# ---
# datatype:
# - {name: e_ref, unit: TeV, datatype: float64, format: '%.2f'}
# - {name: dnde, unit: 1 / (cm2 s TeV), datatype: float64, format: '%8.4g'}
# - {name: dnde_err, unit: 1 / (cm2 s TeV), datatype: float64, format: '%8.4g'}
# meta: !!omap
# - {SED_TYPE: dnde}
# schema: astropy-2.0
e_ref dnde dnde_err
0.230075 5.26251e-11 3.89274e-11
0.278601 6.01183e-11 1.202366e-11
0.33594 2.47628e-11 4.95256e-12
0.410222 1.66224e-11 3.32448e-12
0.501027 9.48779e-12 1.897558e-12
0.609018 5.94486e-12 1.188972e-12
0.740121 3.21962e-12 6.43924e-13
0.898978 2.0501e-12 4.1002e-13
1.09067 1.38192e-12 2.76384e-13
1.32311 9.54581e-13 1.909162e-13
1.60688 6.87457e-13 1.374914e-13
1.95322 4.14298e-13 8.285961e-14
2.37605 2.55873e-13 5.48555e-14
2.89116 2.42959e-13 4.85918e-14
3.51937 1.27424e-13 2.86997e-14
4.294 5.84216e-14 2.09064e-14
5.21096 4.40743e-14 1.53016e-14
7.01776 1.37495e-14 5.98055e-15
10.3991 1.21091e-14 3.33995e-15
14.9831 4.60672e-15 2.19048e-15
22.9559 1.06079e-15 7.50377e-16
39.5896 1.87418e-16 1.51044e-16
